YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,0,3214,1760,2,248,0,24,-214,0,1720,0,0,0,2754,0,356,0,0,9894,30
2024,4,1,2,0,2900,1768,2,242,0,26,-518,0,2006,0,0,0,2746,0,362,0,0,9562,28
2024,4,1,3,0,3006,1774,2,248,0,20,-636,0,2104,0,0,0,2768,0,360,0,0,9676,30
2024,4,1,4,0,2848,1766,2,248,0,36,-624,0,2180,0,0,0,2744,0,360,0,0,9594,34
2024,4,1,5,0,3038,1770,0,246,0,36,-638,0,2244,0,0,0,2762,0,360,0,0,9858,40
2024,4,1,6,0,3068,1774,2,242,0,62,-466,0,2166,0,0,0,2754,0,364,0,0,10004,38
2024,4,1,7,0,3104,1770,2,246,0,68,-242,0,2172,0,0,0,2764,0,362,0,0,10290,44
2024,4,1,8,0,3090,1762,2,244,0,54,0,74,1946,0,0,0,2750,0,362,0,0,10328,44
2024,4,1,9,0,3274,1794,2,242,0,88,0,144,1858,0,0,0,2760,0,364,0,0,10578,52
2024,4,1,10,0,3226,1790,2,244,0,94,0,316,1804,0,0,0,2752,0,360,0,0,10634,46
2024,4,1,11,0,3266,1802,2,244,0,78,0,510,1870,0,0,0,2766,0,364,0,0,10970,68
2024,4,1,12,0,3176,1780,0,242,10,100,0,596,1874,0,0,0,2742,0,360,0,0,10938,58
2024,4,1,13,0,3084,1792,2,244,236,100,0,558,2032,0,0,0,2768,0,362,0,0,11224,46
2024,4,1,14,0,2934,1786,2,240,1096,98,0,366,1956,0,0,0,2744,0,358,0,0,11626,46
2024,4,1,15,0,2722,1770,2,242,2354,94,-180,0,2116,0,0,0,2758,0,358,0,0,12256,20
2024,4,1,16,0,2854,1802,2,244,3724,92,-794,0,1770,0,0,0,2724,0,362,0,0,12798,18
2024,4,1,17,0,2918,1824,2,244,5174,90,-1470,0,1832,0,0,0,2770,0,372,0,0,13782,26
2024,4,1,18,0,2670,1836,2,242,6390,92,-1816,0,2092,0,0,0,2750,0,368,0,0,14648,22
2024,4,1,19,0,2762,1826,2,242,7348,90,-2322,0,2330,0,0,0,2530,0,366,0,0,15202,28
2024,4,1,20,0,3034,1844,2,242,8004,98,-2560,0,2198,0,0,0,2260,0,342,0,0,15494,30
2024,4,1,21,0,2796,1844,2,242,8384,114,-2532,0,2048,0,0,0,2156,0,320,0,0,15408,34
2024,4,1,22,0,3190,1836,2,246,8674,152,-2326,0,1342,0,0,0,2024,0,312,0,0,15484,32
2024,4,1,23,0,3194,1852,0,242,8986,182,-2210,0,1152,0,0,0,1906,0,290,0,0,15634,40
2024,4,1,24,0,3276,1742,2,242,9048,186,-2420,0,1202,0,0,0,1730,0,268,0,0,15414,138
2024,4,1,25,0,2680,1834,2,242,9038,212,-2924,0,1500,0,0,0,1696,0,240,0,0,14660,140
2024,4,1,26,0,2492,1896,2,248,9050,224,-2990,0,1562,0,0,0,1694,0,232,0,0,14550,140
2024,4,1,27,0,2686,1914,2,240,8888,216,-2316,0,1516,0,0,0,1692,0,232,0,0,15210,140
2024,4,1,28,0,2838,1896,2,248,8420,202,-1974,0,1630,0,0,0,1692,0,230,0,0,15324,140
