YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,0,791,678,0,242,0,1,-74,0,724,0,0,0,1876,59,392,0,0,4690,0
2024,4,1,2,0,653,676,0,242,0,0,-74,0,740,0,0,0,1885,59,392,0,0,4574,0
2024,4,1,3,0,770,665,0,242,0,2,-73,0,792,0,0,0,1877,60,390,0,0,4725,0
2024,4,1,4,0,765,655,0,243,0,5,-73,0,740,0,0,0,1885,60,392,0,0,4672,0
2024,4,1,5,0,736,656,0,243,0,6,-73,0,924,0,0,0,1902,61,390,0,0,4845,0
2024,4,1,6,0,648,650,0,242,0,6,-73,0,1104,0,0,0,2020,61,390,0,0,5049,0
2024,4,1,7,0,705,671,0,243,0,5,-72,0,1184,0,0,0,2091,63,388,0,0,5277,0
2024,4,1,8,0,829,670,0,242,0,5,0,0,1122,0,0,0,2116,63,392,0,0,5439,0
2024,4,1,9,0,715,678,0,242,0,8,0,31,1150,0,0,0,2183,63,390,0,0,5460,0
2024,4,1,10,0,751,683,0,242,0,7,0,69,1192,0,0,0,2169,64,388,0,0,5564,0
2024,4,1,11,0,986,692,0,243,0,5,0,68,1020,0,0,0,2189,64,390,0,0,5656,0
2024,4,1,12,0,752,692,0,244,0,12,0,102,1256,0,0,0,2138,63,389,0,0,5648,0
2024,4,1,13,0,602,677,0,245,73,14,0,176,1348,0,0,0,2046,62,386,0,0,5628,0
2024,4,1,14,0,657,664,0,244,484,14,0,245,974,0,0,0,1842,59,370,0,1,5553,0
2024,4,1,15,0,685,648,0,238,1103,12,0,247,596,0,0,0,1592,49,342,0,0,5511,0
2024,4,1,16,0,711,656,0,223,1784,6,0,169,0,-18,0,0,1544,45,321,0,0,5440,0
2024,4,1,17,0,753,655,0,203,2315,0,0,133,0,-344,265,1,1463,43,279,0,0,5502,0
2024,4,1,18,0,718,638,0,189,2919,0,0,43,0,-576,330,2,1316,43,260,0,0,5550,0
2024,4,1,19,0,605,626,0,181,3452,1,0,0,0,-566,391,2,1166,42,261,0,0,5768,0
2024,4,1,20,0,396,620,0,180,3816,1,0,0,0,-710,541,2,1157,41,259,0,0,5760,0
2024,4,1,21,0,414,623,0,180,3669,1,-11,0,0,-474,1080,3,1130,41,261,0,0,5835,0
2024,4,1,22,0,585,643,0,179,3509,1,0,0,0,-420,1547,3,1135,40,261,0,0,5933,0
2024,4,1,23,0,656,659,0,179,3516,2,0,0,0,-418,1762,7,1141,40,265,0,0,6042,0
2024,4,1,24,0,657,661,0,179,3490,3,0,0,0,-462,1924,8,1187,40,261,0,0,6015,0
2024,4,1,25,0,589,639,0,181,3466,4,-63,0,0,-506,1982,10,1195,39,263,0,0,5806,0
2024,4,1,26,0,444,603,0,180,3384,4,-173,0,0,-232,2010,10,1187,39,259,0,0,5695,0
2024,4,1,27,0,645,630,0,179,3390,4,-23,0,0,-300,1875,8,1251,39,261,0,0,6075,0
2024,4,1,28,0,534,629,0,179,3561,3,-25,0,0,-494,1503,7,1370,40,261,0,0,6056,0
2024,4,1,29,0,454,627,0,178,3590,3,-120,0,0,-498,1173,5,1417,40,261,0,0,5952,0
2024,4,1,30,0,537,627,0,178,3427,3,-146,0,0,-514,942,7,1397,39,261,0,0,5809,0
2024,4,1,31,0,524,620,0,179,3394,2,-206,0,0,-552,471,3,1427,40,262,0,0,5690,0
2024,4,1,32,0,682,622,0,182,2935,2,-215,0,0,-340,343,2,1555,44,301,0,0,5766,0
2024,4,1,33,0,823,628,0,186,2296,1,-213,0,78,0,273,43,1719,53,322,0,0,5893,0
2024,4,1,34,0,960,640,0,197,1629,1,-154,0,266,0,199,39,2048,58,333,0,0,5979,0
2024,4,1,35,0,1056,656,0,213,1057,6,-48,0,224,0,0,0,2511,59,352,0,1,6088,0
2024,4,1,36,0,1360,657,0,229,449,8,0,30,168,0,0,0,2755,60,370,0,1,6087,0
2024,4,1,37,0,1139,657,0,236,68,8,0,15,754,0,0,0,2744,62,386,0,1,6069,0
2024,4,1,38,0,1023,678,0,238,0,18,0,66,872,0,0,0,2749,62,393,0,1,6101,0
2024,4,1,39,0,1037,669,0,239,0,21,0,76,920,0,0,0,2729,62,387,0,1,6142,0
2024,4,1,40,0,1132,680,0,239,0,21,0,58,716,0,0,0,2758,62,389,0,1,6056,0
2024,4,1,41,0,1160,684,0,239,0,24,0,101,584,0,0,0,2783,61,389,0,1,6027,0
2024,4,1,42,0,1388,665,0,239,0,24,0,133,290,0,0,0,2795,62,391,0,1,5987,0
2024,4,1,43,0,1186,666,0,239,0,29,0,120,554,0,0,0,2678,61,391,0,1,5926,0
2024,4,1,44,0,916,664,0,238,0,31,0,104,762,0,0,0,2585,61,391,0,1,5753,0
2024,4,1,45,0,1105,664,0,239,0,28,0,80,682,0,0,0,2453,61,390,0,1,5703,0
2024,4,1,46,0,1092,639,0,238,0,24,0,85,628,0,0,0,2304,60,390,0,0,5461,0
2024,4,1,47,0,996,614,0,240,0,22,0,143,800,0,0,0,2184,59,390,0,0,5448,0
2024,4,1,48,0,987,614,0,240,0,17,0,106,732,0,0,0,2160,59,390,0,0,5305,0
2024,4,2,1,0,1094,604,0,238,0,17,0,103,668,0,0,0,2109,59,390,0,0,5281,0
2024,4,2,2,0,983,599,0,238,0,19,0,51,596,0,0,0,2210,59,390,0,0,5144,0
2024,4,2,3,0,1075,613,0,238,0,15,0,38,656,0,0,0,2148,59,390,0,0,5232,0
2024,4,2,4,0,1119,616,0,239,0,14,0,38,764,0,0,0,2081,56,390,0,0,5317,0
2024,4,2,5,0,1185,633,0,238,0,16,0,38,788,0,0,0,2226,57,390,0,0,5572,0
2024,4,2,6,0,1150,632,0,238,0,18,0,38,762,0,0,0,2381,57,392,0,0,5668,0
2024,4,2,7,0,1265,634,0,238,0,19,0,34,858,0,0,0,2447,58,390,0,0,5943,0
2024,4,2,8,0,1154,652,0,238,0,18,0,5,1064,0,0,0,2522,58,390,0,0,6102,0
2024,4,2,9,0,1084,657,0,238,0,17,0,0,1180,0,0,0,2610,58,390,0,0,6235,0
2024,4,2,10,0,1034,658,0,238,0,20,0,0,1262,0,0,0,2617,59,390,0,0,6278,0
2024,4,2,11,0,1347,659,0,239,0,20,0,53,1048,0,0,0,2636,59,390,0,0,6450,0
2024,4,2,12,0,1098,657,0,240,0,22,0,13,1196,0,0,0,2629,58,390,0,0,6304,0
2024,4,2,13,0,1439,641,0,241,90,22,0,75,908,0,0,0,2599,58,390,0,0,6463,0
2024,4,2,14,0,1263,639,0,241,510,22,0,63,702,0,0,0,2427,57,390,0,0,6315,0
2024,4,2,15,0,1135,628,0,240,1048,24,0,25,478,0,0,0,2187,58,390,0,0,6213,0
2024,4,2,16,0,1067,650,0,235,1619,22,-37,0,72,0,0,0,1936,57,380,0,0,6001,0
2024,4,2,17,0,1371,647,0,221,2031,25,-1,0,0,-324,82,2,1738,56,356,0,0,6120,0
2024,4,2,18,0,1415,628,0,203,2482,27,0,90,0,-684,104,2,1825,55,296,0,1,6336,0
