YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,0,11,379,16,213,0,785,0,52,141,0,0,0,906,295,207,-5,0,3000,0
2024,4,1,2,0,11,387,16,213,0,791,0,43,111,0,0,0,997,267,207,-5,0,3038,0
2024,4,1,3,0,11,404,16,213,0,777,0,44,142,0,0,0,1002,298,208,-5,0,3110,0
2024,4,1,4,0,11,420,16,213,0,722,0,107,146,0,0,0,890,381,209,-5,0,3110,0
2024,4,1,5,0,11,485,16,214,0,641,0,97,47,0,0,0,983,510,209,-5,0,3208,0
2024,4,1,6,0,11,542,16,213,0,614,0,97,0,-94,0,0,972,613,209,-5,0,3188,0
2024,4,1,7,0,11,559,16,213,0,594,0,148,0,-60,0,0,1062,564,209,-6,0,3310,0
2024,4,1,8,0,11,573,16,214,0,522,0,176,0,-70,0,0,1091,598,209,-4,0,3336,0
2024,4,1,9,0,11,595,16,213,0,443,0,168,0,-14,0,0,1092,611,207,-4,0,3338,0
2024,4,1,10,0,11,599,16,213,0,405,0,169,64,0,0,0,1233,516,208,-4,0,3430,0
2024,4,1,11,0,11,606,16,212,4,359,0,169,182,0,0,0,1114,426,209,-4,0,3304,0
2024,4,1,12,0,11,589,16,214,113,396,0,162,122,0,0,0,1176,418,208,-5,0,3420,0
2024,4,1,13,0,12,554,16,213,273,461,0,154,8,0,0,0,969,468,209,-5,0,3332,0
2024,4,1,14,0,11,552,16,212,531,435,0,119,0,-187,0,0,1010,502,196,-5,0,3392,0
2024,4,1,15,0,11,482,16,212,819,419,0,48,0,-260,0,0,756,521,170,-6,0,3188,0
2024,4,1,16,0,11,466,16,213,1030,422,0,70,0,-377,0,0,973,434,163,-5,0,3416,0
2024,4,1,17,0,11,440,16,214,1267,440,0,42,0,-455,0,0,868,405,162,-4,0,3406,0
2024,4,1,18,0,11,430,16,212,1501,464,0,51,0,-546,0,0,835,409,162,-5,0,3540,0
2024,4,1,19,0,11,414,16,211,1684,490,0,12,0,-390,0,0,676,362,161,-3,0,3644,0
2024,4,1,20,0,11,396,16,212,1782,483,-146,0,0,-289,0,0,682,387,161,-3,0,3692,0
2024,4,1,21,0,11,379,16,211,1826,502,-122,0,0,-325,0,0,730,375,161,0,2,3766,0
2024,4,1,22,0,11,365,16,211,1824,544,-145,0,0,-314,0,0,645,418,161,0,0,3736,0
2024,4,1,23,0,11,345,16,209,1772,555,-103,0,0,-506,0,0,796,532,159,0,0,3786,0
2024,4,1,24,0,11,325,16,206,1668,557,-77,0,0,-576,0,0,738,647,160,-5,0,3670,0
2024,4,1,25,0,11,299,16,207,1564,569,-253,0,0,-371,0,0,750,590,161,-3,0,3540,0
2024,4,1,26,0,11,294,16,208,1427,585,-386,0,0,-232,0,0,762,582,161,-4,0,3424,0
2024,4,1,27,0,11,306,16,210,1299,600,-405,0,0,-123,0,0,813,613,161,-3,0,3498,0
2024,4,1,28,0,11,314,16,213,1205,664,-417,0,0,-63,0,0,863,522,161,-7,0,3482,0
2024,4,1,29,0,11,332,16,213,1048,727,-346,0,21,0,0,0,781,403,175,-3,0,3378,0
2024,4,1,30,0,11,342,16,213,902,717,-245,0,13,0,0,0,884,391,199,-3,0,3440,0
2024,4,1,31,0,11,379,16,211,738,697,-226,0,0,-116,0,0,970,511,207,-4,0,3394,0
2024,4,1,32,0,11,403,16,211,552,634,-164,0,0,-169,0,0,1024,673,207,-4,0,3394,0
2024,4,1,33,0,11,453,16,211,371,615,0,13,0,-202,0,0,1054,706,207,-5,0,3450,0
2024,4,1,34,0,11,510,16,212,197,606,0,23,16,0,0,0,1105,605,208,-5,0,3504,0
2024,4,1,35,0,11,570,16,213,68,612,0,62,193,0,0,0,1050,488,208,-5,0,3486,0
2024,4,1,36,0,11,632,16,213,2,625,0,147,280,0,0,0,985,417,208,-4,0,3532,0
2024,4,1,37,0,60,667,16,213,0,638,0,183,292,0,0,0,951,469,208,-5,0,3692,0
2024,4,1,38,0,66,672,16,212,0,637,0,156,177,0,0,0,920,512,207,-5,0,3570,0
2024,4,1,39,0,66,605,16,213,0,606,0,184,64,0,0,0,1060,527,208,-5,0,3544,0
2024,4,1,40,0,66,606,16,212,0,537,0,147,147,0,0,0,1227,422,207,-5,0,3582,0
2024,4,1,41,0,19,538,16,213,0,519,0,111,166,0,0,0,1146,490,209,-7,0,3420,0
2024,4,1,42,0,11,508,16,212,0,517,0,92,107,0,0,0,1240,510,208,-5,0,3416,0
2024,4,1,43,0,11,487,16,213,0,500,0,58,114,0,0,0,1200,493,208,-6,0,3294,0
2024,4,1,44,0,11,468,16,213,0,458,0,95,16,0,0,0,1190,539,209,-5,0,3210,0
2024,4,1,45,0,11,424,16,212,0,427,0,111,0,-37,0,0,1187,620,208,-5,0,3174,0
2024,4,1,46,0,11,401,16,212,0,438,0,29,0,-52,0,0,1236,643,208,-6,0,3136,0
2024,4,1,47,0,11,368,16,213,0,438,0,61,96,0,0,0,1124,626,208,-5,0,3156,0
2024,4,1,48,0,11,359,16,212,0,482,0,60,0,-13,0,0,1208,622,208,-5,0,3160,0
2024,4,2,1,0,11,334,16,210,0,492,0,160,22,0,0,0,1100,472,209,-4,0,3022,0
2024,4,2,2,0,29,348,16,209,0,511,0,168,0,-5,0,0,1203,375,208,-4,0,3058,0
2024,4,2,3,0,58,412,16,211,0,533,0,182,60,0,0,0,1099,351,208,-4,0,3126,0
2024,4,2,4,0,59,436,16,211,0,549,0,163,74,0,0,0,1151,342,208,-5,0,3204,0
2024,4,2,5,0,58,463,16,213,0,601,0,169,74,0,0,0,1145,281,209,-5,0,3224,0
2024,4,2,6,0,56,465,16,212,0,637,0,175,129,0,0,0,1131,273,208,-4,0,3298,0
2024,4,2,7,0,55,467,16,213,0,642,0,167,159,0,0,0,1101,271,208,-5,0,3294,0
2024,4,2,8,0,69,514,16,213,0,664,0,162,136,0,0,0,1163,268,208,-5,0,3408,0
2024,4,2,9,0,89,526,16,213,0,705,0,123,0,-12,0,0,1207,361,207,-5,0,3430,0
2024,4,2,10,0,89,552,16,213,0,701,0,124,0,-25,0,0,1176,400,207,-5,0,3448,0
2024,4,2,11,0,90,585,16,213,3,655,0,129,36,0,0,0,1065,411,207,-6,0,3404,0
2024,4,2,12,0,191,593,16,212,110,643,0,105,0,-157,0,0,1140,466,208,-5,0,3522,0
2024,4,2,13,0,444,493,16,212,264,631,0,123,0,-181,0,0,882,339,207,-6,0,3424,0
2024,4,2,14,0,461,485,16,212,500,608,0,83,0,-215,0,0,963,248,195,-6,0,3550,0
2024,4,2,15,0,455,449,16,212,762,594,0,56,0,-222,0,0,756,124,170,-8,0,3364,0
2024,4,2,16,0,423,424,16,212,995,615,0,43,0,-258,0,0,741,112,163,-4,0,3482,0
2024,4,2,17,0,364,360,16,213,1186,649,0,37,0,-103,0,0,508,117,155,-4,0,3498,0
2024,4,2,18,0,449,350,16,213,1361,677,-168,0,0,-68,0,0,701,139,139,-5,0,3804,0
2024,4,2,19,0,448,321,16,212,1406,674,-343,0,138,0,0,0,680,169,122,-7,0,3836,0
2024,4,2,20,0,482,319,16,212,1408,689,-450,0,206,0,0,0,679,169,115,-7,0,3838,0
2024,4,2,21,0,358,321,16,213,1449,681,-449,0,359,0,0,0,591,126,116,-7,0,3774,0
2024,4,2,22,0,435,305,16,212,1448,666,-445,0,329,0,0,0,619,117,115,-7,0,3810,0
2024,4,2,23,0,487,281,16,212,1415,649,-439,0,233,0,0,0,635,131,116,-6,0,3730,0
2024,4,2,24,0,386,277,16,213,1403,648,-419,0,156,0,0,0,663,171,115,-5,0,3624,0
2024,4,2,25,0,380,282,16,212,1383,660,-327,0,0,-50,0,0,578,171,116,-5,0,3416,0
2024,4,2,26,0,365,273,16,211,1367,674,-7,0,0,-243,0,0,523,170,116,-5,0,3460,0
2024,4,2,27,0,429,271,16,199,1332,670,0,78,0,-245,0,0,507,170,116,-5,0,3538,0
2024,4,2,28,0,330,273,16,189,1259,716,0,17,0,-229,0,0,615,170,115,-5,0,3466,0
2024,4,2,29,0,321,294,16,199,1139,740,0,53,0,-263,0,0,533,171,115,-4,0,3314,0
2024,4,2,30,0,410,302,16,211,956,686,0,79,0,-260,0,0,625,171,115,-5,0,3306,0
2024,4,2,31,0,503,311,16,211,769,610,0,37,0,-249,0,0,724,172,116,-6,0,3214,0
2024,4,2,32,0,530,327,16,211,583,552,0,22,0,-191,0,0,759,286,115,-6,0,3204,0
2024,4,2,33,0,465,375,16,211,419,492,0,23,0,-119,0,0,906,321,129,-4,0,3234,0
2024,4,2,34,0,492,474,16,212,257,475,0,92,0,-46,0,0,985,259,154,-6,0,3364,0
2024,4,2,35,0,527,608,16,214,91,450,0,100,0,-160,0,0,1057,324,162,-5,0,3384,0
2024,4,2,36,0,532,646,16,214,4,462,0,104,50,0,0,0,1002,241,161,-4,0,3428,0
2024,4,2,37,0,541,679,16,214,0,454,0,99,109,0,0,0,1059,244,162,-5,0,3572,0
2024,4,2,38,0,535,684,16,214,1,454,0,98,47,0,0,0,1094,317,162,-6,0,3616,0
2024,4,2,39,0,504,630,16,214,0,391,0,100,96,0,0,0,1081,368,161,-5,0,3556,0
2024,4,2,40,0,505,614,16,214,0,275,0,101,132,0,0,0,1116,382,162,-5,0,3512,0
2024,4,2,41,0,551,598,16,214,0,209,0,101,109,0,0,0,1079,407,161,-5,0,3440,0
2024,4,2,42,0,553,577,16,214,0,190,0,100,47,0,0,0,1076,437,161,-5,0,3366,0
2024,4,2,43,0,565,518,16,214,0,168,0,88,15,0,0,0,1024,492,163,-5,0,3258,0
2024,4,2,44,0,564,508,16,214,0,150,0,29,16,0,0,0,1122,475,163,-5,0,3252,0
2024,4,2,45,0,560,493,16,215,0,143,0,44,81,0,0,0,1096,333,162,-5,0,3138,0
2024,4,2,46,0,565,464,16,214,0,147,0,42,47,0,0,0,1098,349,162,-6,0,3098,0
2024,4,2,47,0,567,418,16,214,0,183,0,46,30,0,0,0,1062,422,162,-6,0,3114,0
2024,4,2,48,0,545,401,16,214,0,263,0,40,36,0,0,0,1145,352,161,-5,0,3168,0
2024,4,3,1,0,585,348,16,213,0,278,0,84,25,0,0,0,1121,333,157,-6,0,3154,0
2024,4,3,2,0,601,341,16,214,0,271,0,91,0,-75,0,0,1087,414,152,-6,0,3106,0
2024,4,3,3,0,588,345,16,214,0,343,0,93,0,0,0,0,1054,348,152,-5,0,3148,0
2024,4,3,4,0,585,371,16,214,0,398,0,90,62,0,0,0,1149,260,152,-5,0,3292,0
2024,4,3,5,0,551,412,16,214,0,399,0,94,46,0,0,0,1134,292,152,-6,0,3304,0
2024,4,3,6,0,562,421,16,213,0,378,0,150,50,0,0,0,1075,310,152,-5,0,3322,0
2024,4,3,7,0,566,452,16,213,0,364,0,174,57,0,0,0,1083,324,152,-5,0,3396,0
2024,4,3,8,0,568,508,16,213,0,349,0,174,48,0,0,0,1121,320,152,-5,0,3464,0
2024,4,3,9,0,535,584,16,213,0,345,0,161,169,0,0,0,1041,213,152,0,9,3438,0
2024,4,3,10,0,564,592,16,213,0,336,0,165,244,0,0,0,1099,145,152,0,8,3534,0
2024,4,3,11,0,568,574,16,213,4,340,0,102,264,0,0,0,1072,168,152,-3,0,3470,0
2024,4,3,12,0,567,550,16,213,126,312,0,101,132,0,0,0,1060,193,152,-6,0,3416,0
2024,4,3,13,0,567,451,16,213,317,278,0,100,0,-3,0,0,992,251,152,-6,0,3328,0
2024,4,3,14,0,552,391,16,212,618,283,0,44,0,-108,0,0,1174,146,139,-5,0,3462,0
2024,4,3,15,0,483,387,16,212,935,302,0,67,0,-225,0,0,839,114,113,-5,0,3238,0
2024,4,3,16,0,485,359,16,212,1170,346,0,48,0,-366,0,0,920,115,104,-5,0,3404,0
2024,4,3,17,0,460,327,16,213,1420,358,0,61,0,-494,0,0,832,120,99,-6,0,3406,0
2024,4,3,18,0,387,321,16,212,1646,372,0,30,0,-497,0,0,855,127,95,-4,0,3560,0
2024,4,3,19,0,435,292,16,212,1813,364,-161,0,0,-304,0,0,677,125,95,-4,0,3560,0
2024,4,3,20,0,428,289,16,211,1906,370,-287,0,0,-351,0,0,840,145,95,-4,0,3658,0
2024,4,3,21,0,412,287,16,212,1972,378,-454,0,0,-296,0,0,775,164,95,-1,0,3560,0
2024,4,3,22,0,430,273,16,212,2003,361,-442,0,0,-311,0,0,845,164,86,-3,0,3634,0
2024,4,3,23,0,461,252,16,212,2011,335,-448,0,0,-303,0,0,783,163,88,-4,0,3566,0
2024,4,3,24,0,446,248,16,212,1986,320,-443,0,0,-325,0,0,848,165,86,-5,0,3554,0
2024,4,3,25,0,413,259,16,213,1959,323,-259,0,0,-449,0,0,734,124,93,-52,0,3374,0
2024,4,3,26,0,437,250,16,212,1887,318,-228,0,0,-518,0,0,817,119,98,-42,0,3366,0
2024,4,3,27,0,413,250,16,202,1795,311,-114,0,0,-518,0,0,760,139,98,-6,0,3346,0
2024,4,3,28,0,427,267,16,191,1659,262,0,28,0,-551,0,0,849,119,98,-5,0,3360,0
2024,4,3,29,0,478,271,16,204,1490,202,0,21,0,-628,0,0,944,183,112,-5,0,3288,0
2024,4,3,30,0,515,283,16,212,1268,157,0,22,0,-609,0,0,953,235,150,-6,0,3196,0
2024,4,3,31,0,463,330,16,213,1015,163,0,18,0,-499,0,0,1087,235,188,-7,0,3222,0
2024,4,3,32,0,544,353,16,213,749,131,0,53,0,-323,0,0,988,191,197,-4,0,3108,0
2024,4,3,33,0,491,421,16,212,504,114,0,66,0,-140,0,0,1124,254,198,-4,0,3256,0
2024,4,3,34,0,480,479,16,212,279,110,0,132,0,-15,0,0,1053,281,198,-3,0,3222,0
2024,4,3,35,0,573,567,16,214,95,100,0,149,107,0,0,0,1028,201,198,-4,0,3244,0
2024,4,3,36,0,617,577,16,214,3,99,0,148,253,0,0,0,1149,136,198,-4,0,3406,0
2024,4,3,37,0,604,659,16,214,0,97,0,142,187,0,0,0,1101,287,198,-5,0,3500,0
2024,4,3,38,0,614,674,16,214,0,94,0,143,141,0,0,0,1107,324,198,0,31,3556,0
2024,4,3,39,0,627,650,16,213,0,57,0,193,140,0,0,0,1074,328,198,-4,0,3492,0
2024,4,3,40,0,607,643,16,214,0,42,0,163,138,0,0,0,1115,339,198,-5,0,3470,0
2024,4,3,41,0,557,626,16,214,0,47,0,148,150,0,0,0,1064,347,198,-5,0,3362,0
2024,4,3,42,0,548,565,16,214,0,55,0,145,153,0,0,0,1102,338,198,-4,0,3330,0
2024,4,3,43,0,607,526,16,214,0,61,0,124,78,0,0,0,1003,325,198,-4,0,3148,0
2024,4,3,44,0,628,499,16,214,0,59,0,117,92,0,0,0,1168,203,199,-5,0,3190,0
2024,4,3,45,0,627,450,16,215,0,62,0,110,65,0,0,0,1094,254,198,-5,0,3086,0
2024,4,3,46,0,627,427,16,215,0,66,0,108,0,-20,0,0,1052,326,198,-5,0,3010,0
2024,4,3,47,0,626,385,16,215,0,79,0,85,74,0,0,0,1063,324,199,-6,0,3060,0
2024,4,3,48,0,625,370,16,215,0,98,0,93,42,0,0,0,1109,324,198,-6,0,3084,0
2024,4,4,1,0,600,296,16,215,0,107,0,85,119,0,0,0,1089,291,199,-5,0,3012,0
2024,4,4,2,0,599,275,16,215,0,101,0,94,87,0,0,0,1109,301,199,-4,0,2992,0
2024,4,4,3,0,609,287,16,215,0,107,0,72,147,0,0,0,1069,301,199,-4,0,3018,0
2024,4,4,4,0,606,346,16,214,0,104,0,69,185,0,0,0,1133,269,199,-5,0,3136,0
2024,4,4,5,0,605,389,16,215,0,83,0,72,265,0,0,0,1137,227,200,-5,0,3204,0
2024,4,4,6,0,602,413,16,215,0,50,0,77,198,0,0,0,1081,320,199,-5,0,3166,0
2024,4,4,7,0,602,422,16,214,0,31,0,143,212,0,0,0,1082,309,198,-5,0,3224,0
2024,4,4,8,0,601,477,16,215,0,27,0,148,260,0,0,0,1171,248,198,-5,0,3356,0
2024,4,4,9,0,602,509,16,215,0,24,0,150,305,0,0,0,1186,213,199,-5,0,3414,0
2024,4,4,10,0,605,495,16,214,0,28,0,158,249,0,0,0,1128,305,199,-5,0,3392,0
2024,4,4,11,0,583,497,16,214,3,30,0,144,308,0,0,0,1097,241,199,-6,0,3326,0
2024,4,4,12,0,614,506,16,214,107,24,0,148,253,0,0,0,1216,161,199,-6,0,3452,0
2024,4,4,13,0,618,406,16,203,244,23,0,153,186,0,0,0,1160,251,199,-5,0,3454,0
2024,4,4,14,0,571,353,16,191,398,22,0,144,52,0,0,0,1153,308,199,-5,0,3402,0
2024,4,4,15,0,507,335,16,190,550,15,0,24,151,0,0,0,1142,168,199,-5,0,3292,0
2024,4,4,16,0,527,318,16,192,746,9,0,21,130,0,0,0,1175,122,198,-6,0,3448,0
2024,4,4,17,0,549,314,16,193,935,4,0,21,0,-8,0,0,1169,134,198,-7,0,3518,0
2024,4,4,18,0,553,314,16,193,1068,2,0,44,0,-43,0,0,1184,163,185,-7,0,3672,0
2024,4,4,19,0,554,296,16,193,1179,3,0,101,0,-30,0,0,1110,121,159,-4,0,3698,0
2024,4,4,20,0,421,293,16,192,1235,13,0,94,95,0,0,0,1129,119,148,0,1,3756,0
2024,4,4,21,0,328,281,16,192,1244,36,-73,0,271,0,0,0,1087,117,152,-5,0,3646,0
2024,4,4,22,0,345,264,16,193,1224,46,-297,0,460,0,0,0,1135,116,151,-3,0,3650,0
2024,4,4,23,0,424,241,16,194,1181,77,-457,0,498,0,0,0,1124,117,151,-4,0,3562,0
2024,4,4,24,0,442,238,16,202,1137,79,-464,0,426,0,0,0,1175,150,151,-4,0,3548,0
2024,4,4,25,0,399,247,16,214,1151,100,-466,0,184,0,0,0,1149,227,152,-5,0,3368,0
2024,4,4,26,0,397,236,16,214,1137,119,-420,0,160,0,0,0,1157,186,152,-6,0,3348,0
2024,4,4,27,0,451,235,16,215,1071,154,-228,0,188,0,0,0,1021,145,152,-4,0,3416,0
