YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,0,124,1308,0,68,0,3,0,0,0,-50,0,0,788,0,15,0,0,2315,59
2024,4,1,2,0,120,1324,0,66,0,3,0,0,0,-38,0,0,743,0,15,0,0,2289,57
2024,4,1,3,0,121,1359,0,66,0,3,0,0,0,-20,0,0,743,0,15,0,0,2344,57
2024,4,1,4,0,123,1404,0,66,0,3,0,0,0,-24,0,0,781,0,15,0,0,2426,59
2024,4,1,5,0,120,1447,0,66,0,4,0,0,0,-8,0,0,842,0,15,0,0,2545,59
2024,4,1,6,0,123,1489,0,68,0,3,0,0,10,0,0,0,874,0,15,0,0,2640,59
2024,4,1,7,0,121,1496,0,65,0,3,0,0,72,0,0,0,905,0,15,0,0,2738,61
2024,4,1,8,0,122,1498,0,66,0,5,0,0,130,0,0,0,938,0,15,0,0,2837,63
2024,4,1,9,0,123,1595,0,66,0,5,0,0,134,0,0,0,884,0,15,0,0,2880,59
2024,4,1,10,0,122,1633,0,68,0,6,0,0,136,0,0,0,891,0,15,0,0,2933,61
2024,4,1,11,0,123,1641,0,66,0,3,0,0,104,0,0,0,947,0,15,0,0,2962,63
2024,4,1,12,0,122,1633,0,66,4,2,0,0,94,0,0,0,925,0,15,0,0,2921,61
2024,4,1,13,0,124,1649,0,66,27,2,0,0,40,0,0,0,965,0,14,0,0,2946,59
2024,4,1,14,0,121,1628,0,68,78,3,0,0,0,-12,0,0,933,0,15,0,0,2898,65
2024,4,1,15,0,121,1507,0,65,152,3,0,0,6,0,0,0,923,0,14,0,0,2859,69
2024,4,1,16,0,120,1469,0,66,295,2,0,0,0,-6,0,0,892,0,12,0,0,2916,67
2024,4,1,17,0,118,1491,0,65,413,1,0,0,18,0,0,0,804,0,12,0,0,2989,67
2024,4,1,18,0,116,1531,0,66,460,0,0,0,112,0,0,0,799,0,12,0,0,3162,67
2024,4,1,19,0,115,1502,0,67,507,0,0,0,226,0,0,0,732,0,11,0,0,3227,67
2024,4,1,20,0,115,1481,0,65,585,0,0,0,242,0,0,0,700,0,8,0,0,3261,65
2024,4,1,21,0,115,1442,0,65,679,1,0,0,200,0,0,0,648,0,6,0,0,3217,61
2024,4,1,22,0,115,1420,0,65,755,1,0,0,88,0,0,0,722,0,4,0,0,3226,55
2024,4,1,23,0,115,1398,0,65,812,1,0,0,0,-24,0,0,800,0,2,0,0,3219,49
2024,4,1,24,0,116,1295,0,65,962,3,-117,0,126,0,0,0,757,0,2,0,0,3254,47
2024,4,1,25,0,115,1261,0,64,1037,4,-122,0,126,0,0,0,574,0,2,0,0,3107,47
2024,4,1,26,0,117,1242,0,64,1068,6,-122,0,172,0,0,0,460,0,2,0,0,3057,47
2024,4,1,27,0,119,1223,0,66,1026,10,-121,0,246,0,0,0,531,0,2,0,0,3151,49
2024,4,1,28,0,143,1223,0,65,984,13,-121,0,184,0,0,0,601,0,2,0,0,3141,47
2024,4,1,29,0,143,1247,0,64,857,16,-121,0,282,0,0,0,596,0,3,0,0,3137,49
2024,4,1,30,0,117,1306,0,64,686,20,-121,0,300,0,0,0,663,0,3,0,0,3085,47
2024,4,1,31,0,115,1309,0,64,568,25,-121,0,422,0,0,0,641,0,2,0,0,3073,49
2024,4,1,32,0,141,1389,0,66,413,30,0,0,352,0,0,0,661,0,3,0,0,3101,47
2024,4,1,33,0,182,1392,0,61,287,36,0,0,240,0,0,0,840,0,3,0,0,3088,47
2024,4,1,34,0,166,1379,0,61,225,36,0,0,374,0,0,0,843,0,3,0,0,3136,51
2024,4,1,35,0,250,1430,0,61,133,27,0,0,206,0,0,0,909,0,3,0,0,3075,57
2024,4,1,36,0,201,1545,0,61,60,28,0,0,190,0,0,0,965,0,2,0,0,3109,57
2024,4,1,37,0,167,1740,0,60,8,25,0,0,108,0,0,0,987,0,3,0,0,3153,55
2024,4,1,38,0,242,1797,0,60,1,23,0,0,16,0,0,0,994,0,3,0,0,3191,55
2024,4,1,39,0,175,1768,0,58,0,17,0,0,64,0,0,0,1027,0,2,0,0,3167,55
2024,4,1,40,0,166,1659,0,61,0,13,0,0,154,0,0,0,1016,0,3,0,0,3127,55
2024,4,1,41,0,168,1571,0,61,0,12,0,0,208,0,0,0,1013,0,3,0,0,3090,55
2024,4,1,42,0,164,1463,0,59,0,10,0,0,260,0,0,0,1037,0,3,0,0,3052,57
2024,4,1,43,0,174,1398,0,61,0,8,0,0,254,0,0,0,1033,0,2,0,0,2985,55
2024,4,1,44,0,159,1354,0,61,0,7,0,0,304,0,0,0,1011,0,3,0,0,2955,57
2024,4,1,45,0,132,1363,0,61,0,8,0,0,308,0,0,0,1031,0,1,0,0,2960,57
2024,4,1,46,0,121,1348,0,61,0,8,0,0,272,0,0,0,1033,0,1,0,0,2899,55
2024,4,1,47,0,122,1366,0,61,0,9,0,0,226,0,0,0,1033,0,1,0,0,2874,57
2024,4,1,48,0,122,1328,0,62,0,7,0,0,208,0,0,0,1024,0,1,0,0,2806,55
