YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,4526,3291,1893,0,291,0,5,-151,0,0,-1806,0,0,2352,6,322,0,0,10796,67
2024,4,1,2,4526,3686,1895,0,291,0,6,-486,0,0,-2122,0,0,2273,6,325,0,0,10466,66
2024,4,1,3,4526,3640,1906,0,290,0,9,-525,0,0,-2072,0,0,2221,6,326,0,0,10394,67
2024,4,1,4,4526,3744,1899,0,290,0,12,-542,0,0,-2020,0,0,2197,6,327,0,0,10504,65
2024,4,1,5,4526,4051,1933,0,290,0,4,-349,0,0,-2258,0,0,2197,5,328,0,0,10801,74
2024,4,1,6,4526,3847,1944,0,293,0,4,0,218,0,-2258,0,0,2194,5,328,0,0,11173,72
2024,4,1,7,4526,3967,1987,0,292,0,15,0,381,0,-2278,0,0,2195,5,329,0,0,11492,73
2024,4,1,8,4526,3923,1974,0,292,0,29,0,375,0,-2182,0,0,2193,5,330,0,0,11537,72
2024,4,1,9,4525,3975,1977,0,292,0,27,0,333,0,-2062,0,0,2109,5,330,0,0,11583,72
2024,4,1,10,4525,3969,1980,0,291,0,28,0,336,0,-2026,0,0,2102,5,332,0,0,11614,72
2024,4,1,11,4525,3601,1922,0,290,0,40,0,336,0,-1590,0,0,2110,5,343,0,0,11651,69
2024,4,1,12,4526,3701,1921,0,290,2,29,0,360,0,-1806,0,0,2110,5,341,0,0,11546,67
2024,4,1,13,4526,3669,1932,0,291,118,32,0,329,0,-1740,0,0,2112,5,338,0,0,11676,64
2024,4,1,14,4526,3153,1969,0,291,518,28,0,337,0,-1440,0,0,2112,5,338,0,0,11902,65
2024,4,1,15,4526,2896,1974,0,291,1219,21,-42,0,0,-966,0,0,2040,4,339,0,0,12338,36
2024,4,1,16,4526,2465,1981,0,292,1999,23,-920,0,88,0,0,0,2030,4,339,0,0,12860,33
2024,4,1,17,4525,2609,2111,0,291,2802,17,-1420,0,502,0,0,0,1842,4,338,0,0,13617,-4
2024,4,1,18,4526,2257,2127,0,290,3530,17,-1589,0,1306,0,0,0,1539,4,340,0,0,14343,-4
2024,4,1,19,4525,1654,2247,0,289,4175,26,-1674,0,1904,0,0,0,1428,4,341,0,0,14884,-35
2024,4,1,20,4525,1401,2255,0,287,4679,32,-1749,0,1988,0,0,0,1330,4,343,0,0,15064,-31
2024,4,1,21,4524,1122,2097,0,286,5058,37,-1938,0,2336,0,0,0,1267,4,343,0,0,15086,-50
2024,4,1,22,4524,1031,2097,0,289,5326,38,-2189,0,2488,0,0,0,1266,4,344,0,0,15167,-51
2024,4,1,23,4524,908,2106,0,292,5499,43,-2471,0,2698,0,0,0,1269,4,346,0,0,15157,-61
2024,4,1,24,4524,946,2107,0,291,5566,43,-2428,0,2540,0,0,0,1185,4,347,0,0,15065,-60
2024,4,1,25,4524,832,2072,0,291,5528,54,-1941,0,1868,0,16,0,995,4,324,0,0,14507,-44
2024,4,1,26,4526,809,2047,0,290,5435,69,-1191,0,1310,0,19,0,836,4,325,0,0,14422,-38
2024,4,1,27,4524,1226,2034,0,290,5308,81,-607,0,1352,0,0,0,570,4,339,0,0,15059,-62
2024,4,1,28,4524,1320,2050,0,289,5063,90,-537,0,1642,0,0,0,410,5,338,0,0,15130,-64
2024,4,1,29,4525,1201,2064,0,291,4687,107,-315,0,1788,0,0,0,404,15,337,0,0,15041,-63
2024,4,1,30,4525,1578,2087,0,292,4225,103,-315,0,1658,0,0,0,436,30,337,0,0,14894,-62
2024,4,1,31,4526,1724,2127,0,293,3658,106,-83,0,1536,0,0,0,626,44,337,0,0,14856,-38
2024,4,1,32,4526,1602,2222,0,292,2966,108,0,165,1650,0,0,0,989,122,335,0,0,14944,-33
2024,4,1,33,4525,2559,2435,0,296,2199,107,0,570,416,0,0,0,1349,211,337,0,0,15011,7
2024,4,1,34,4525,2966,2445,0,294,1429,107,0,1080,0,-12,0,0,1537,298,329,0,0,15005,7
2024,4,1,35,4525,3181,2459,0,295,746,104,0,969,142,0,0,0,1804,320,307,0,0,14901,49
2024,4,1,36,4525,3194,2464,0,294,258,121,0,974,500,0,0,0,2024,298,305,0,0,15004,47
2024,4,1,37,4525,3543,2466,0,293,21,126,0,950,524,0,0,0,2085,290,303,0,0,15185,59
2024,4,1,38,4525,3948,2474,0,295,0,127,0,1196,0,-16,0,0,2095,448,300,0,0,15450,58
2024,4,1,39,4525,4296,2473,0,294,0,116,0,1019,0,-120,0,0,2106,223,298,0,0,15297,67
2024,4,1,40,4526,4346,2470,0,296,0,95,0,820,0,-116,0,0,2115,173,299,0,0,15088,64
2024,4,1,41,4526,4284,2562,0,296,0,87,0,667,0,-228,0,0,2114,173,299,0,0,14849,69
2024,4,1,42,4526,4420,2566,0,297,0,72,0,646,0,-538,0,0,2117,173,298,0,0,14646,69
