YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,3002,430,968,152,528,0,54,0,94,0,-128,0,0,1296,76,340,-22,0,6980,190
2024,4,1,2,3000,352,964,156,556,0,56,0,0,176,0,0,0,936,74,350,-22,0,6788,190
2024,4,1,3,3000,280,972,156,548,0,38,0,0,176,0,0,0,990,72,332,-10,0,6746,192
2024,4,1,4,3000,386,950,150,540,0,36,0,0,144,0,0,0,1016,72,364,-16,0,6832,190
2024,4,1,5,3002,494,982,156,548,0,50,0,18,168,0,0,0,1082,74,324,-6,0,7082,190
2024,4,1,6,3000,568,944,150,540,0,48,0,208,0,-64,0,0,1320,70,372,-14,0,7332,190
2024,4,1,7,3000,522,1032,156,552,0,46,0,472,0,-192,0,0,1500,74,326,-6,0,7672,190
2024,4,1,8,2998,530,1014,152,536,0,50,0,588,0,-256,0,0,1598,72,368,-4,0,7838,192
2024,4,1,9,3002,538,1068,156,550,0,58,0,736,0,-296,0,0,1672,78,328,0,0,8082,192
2024,4,1,10,3002,628,1078,154,534,0,58,0,808,0,-312,0,0,1566,78,368,-4,0,8150,192
2024,4,1,11,2996,600,1126,156,548,0,78,0,830,0,-332,0,0,1590,82,330,-2,0,8194,192
2024,4,1,12,3002,540,1104,154,538,0,86,0,800,0,-296,0,0,1530,82,360,-6,0,8086,192
2024,4,1,13,3004,572,1146,156,546,28,104,0,758,0,-384,0,0,1530,84,314,-4,0,8046,192
2024,4,1,14,2998,706,1092,154,528,286,96,0,552,0,-380,0,0,1226,88,348,0,8,7892,190
2024,4,1,15,3006,522,1092,156,496,1092,104,0,276,0,-548,0,0,1064,84,312,-4,0,7844,192
2024,4,1,16,3002,496,1074,152,452,2068,96,-188,0,0,-824,0,0,840,82,318,0,0,7758,190
2024,4,1,17,3000,610,960,156,458,3228,82,-740,0,0,-1216,1,0,690,80,286,0,10,7796,192
2024,4,1,18,3002,632,848,152,452,4348,62,-806,0,0,-1720,123,0,684,76,332,0,2,8254,190
2024,4,1,19,3008,422,726,156,458,5508,54,-770,0,0,-2180,194,0,752,76,290,0,6,8696,190
2024,4,1,20,3000,338,664,152,444,6222,46,-1140,0,0,-2228,442,0,788,74,322,-2,0,8870,190
2024,4,1,21,3004,370,672,156,456,6398,48,-1324,0,0,-2284,1266,0,786,68,284,0,2,8826,190
2024,4,1,22,3002,358,656,154,444,6402,44,-1332,0,0,-2272,1868,0,784,66,322,0,2,8818,188
2024,4,1,23,3002,462,612,156,454,6358,56,-1256,0,0,-2260,2459,0,782,66,290,0,6,8916,188
2024,4,1,24,3004,420,602,154,432,6390,48,-1224,0,0,-2272,2674,0,782,64,316,0,6,8912,190
2024,4,1,25,3004,466,590,156,444,5784,52,-1214,0,0,-1932,3485,0,786,64,290,0,6,8686,190
2024,4,1,26,2998,498,576,154,430,5524,60,-1244,0,0,-1852,3577,0,790,62,310,-10,0,8486,190
2024,4,1,27,3002,724,644,156,438,5492,62,-1214,0,0,-1904,3361,0,786,64,294,0,26,8760,190
2024,4,1,28,3002,568,688,154,434,5840,56,-1284,0,0,-2056,2600,0,784,68,312,0,2,8758,190
2024,4,1,29,3004,432,688,156,440,6244,48,-1312,0,0,-2208,1778,0,784,66,288,0,2,8822,190
2024,4,1,30,3000,368,664,152,432,6348,46,-1344,0,0,-2240,1054,0,788,66,316,0,2,8786,188
2024,4,1,31,3002,380,690,156,448,6358,48,-1378,0,0,-2200,361,0,778,70,286,-26,0,8802,190
2024,4,1,32,2998,470,658,154,440,6026,44,-1348,0,0,-2084,2,0,692,70,318,-18,0,8610,190
2024,4,1,33,2998,610,776,156,456,4934,46,-1150,0,0,-1416,0,0,764,78,286,0,4,8732,190
2024,4,1,34,2998,910,866,152,452,3608,42,-184,0,0,-1592,0,0,970,84,306,0,10,8814,192
2024,4,1,35,2992,820,994,158,492,2268,42,0,158,0,-832,0,0,1244,86,280,0,2,8896,192
2024,4,1,36,2996,1002,1010,154,524,1102,30,0,626,0,-816,0,0,1604,92,354,0,32,8904,194
2024,4,1,37,2992,836,1102,158,548,283,23,0,716,0,-416,0,0,2098,100,338,0,2,8974,194
2024,4,1,38,2996,970,1106,154,526,0,12,0,794,0,-408,0,0,2368,100,350,-4,0,9160,196
2024,4,1,39,2998,890,1118,158,530,0,18,0,816,0,-620,0,0,2614,104,336,-2,0,9154,194
2024,4,1,40,3002,812,1090,156,522,0,14,0,784,0,-700,0,0,2686,100,370,-2,0,9028,194
2024,4,1,41,3000,702,1080,158,526,0,18,0,650,0,-468,0,0,2540,100,338,0,4,8840,192
2024,4,1,42,3004,652,1032,156,528,0,14,0,592,0,-476,0,0,2528,90,368,-2,0,8680,194
2024,4,1,43,3002,740,992,158,528,0,14,0,438,0,-620,0,0,2678,94,338,0,0,8554,192
2024,4,1,44,3002,882,946,156,524,0,14,0,186,0,-532,0,0,2474,90,368,0,4,8308,194
2024,4,1,45,3000,736,946,158,530,0,20,0,16,0,-412,0,0,2630,88,334,-2,0,8236,192
2024,4,1,46,3004,822,910,156,518,0,30,0,0,0,-472,0,0,2414,84,370,0,10,8038,192
2024,4,1,47,3002,826,924,158,530,0,34,0,0,0,-376,0,0,2268,80,326,0,14,7978,192
2024,4,1,48,3002,550,900,156,524,0,42,0,0,0,-160,0,0,2106,76,338,0,0,7726,192
2024,4,2,1,3004,676,850,158,530,0,52,0,0,0,-264,0,0,1926,76,308,-20,0,7488,192
2024,4,2,2,3002,730,818,158,526,0,58,0,0,0,-272,0,0,1710,72,340,-46,0,7288,192
2024,4,2,3,3004,718,846,158,528,0,48,0,0,0,-324,0,0,1716,70,310,-44,0,7222,192
2024,4,2,4,3002,604,928,156,520,0,40,0,0,0,-652,0,0,2092,68,342,-16,0,7278,194
2024,4,2,5,3004,638,968,158,534,0,46,0,156,0,-728,0,0,2200,70,314,-10,0,7542,192
2024,4,2,6,3004,694,938,156,522,0,52,0,338,0,-896,0,0,2394,68,362,0,2,7826,192
2024,4,2,7,3002,780,962,158,538,0,46,0,434,0,-836,0,0,2548,72,312,0,2,8210,192
2024,4,2,8,3002,884,974,156,518,0,54,0,528,0,-920,0,0,2570,74,370,0,0,8402,192
2024,4,2,9,3002,810,1098,158,536,0,62,0,524,0,-864,0,0,2726,76,312,0,0,8632,192
2024,4,2,10,3004,856,1102,154,522,0,60,0,464,0,-816,0,0,2750,78,342,0,0,8710,194
2024,4,2,11,3002,866,1164,158,538,0,52,0,696,0,-824,0,0,2550,82,294,-2,0,8768,192
2024,4,2,12,2998,920,1134,154,516,0,44,0,478,0,-680,0,0,2516,84,352,0,0,8710,194
2024,4,2,13,3004,966,1170,158,536,22,48,0,592,0,-740,0,0,2274,86,298,-2,0,8604,192
2024,4,2,14,2994,710,1136,154,526,298,52,0,404,0,-792,0,0,2250,86,348,-8,0,8350,192
2024,4,2,15,3004,612,1170,158,530,1137,61,0,190,0,-908,0,0,1792,86,294,-22,0,8296,192
2024,4,2,16,2998,626,980,154,508,1799,61,0,0,0,-856,0,0,1202,80,324,0,0,8066,190
2024,4,2,17,2998,954,812,156,492,2434,62,0,0,0,-1264,1,0,1068,86,278,0,24,8292,192
2024,4,2,18,3002,764,746,154,424,3082,60,0,0,0,-1216,1,0,976,86,318,-4,0,8582,190
2024,4,2,19,2998,486,712,156,440,3902,68,-138,0,0,-1360,1,0,968,90,270,-4,0,8778,190
2024,4,2,20,3002,688,666,152,428,4370,44,-462,0,0,-1496,1,0,834,88,304,0,2,8810,190
2024,4,2,21,3000,754,652,156,440,4726,46,-490,0,0,-1832,1,0,784,84,278,0,2,8790,190
2024,4,2,22,3002,694,624,152,428,4676,46,-506,0,0,-1576,1,0,784,86,306,0,4,8908,188
2024,4,2,23,2998,838,564,156,438,4256,52,-118,0,0,-1704,1,0,894,88,278,0,18,8946,188
2024,4,2,24,3002,790,524,152,438,4042,56,0,122,0,-1976,1,0,1028,86,300,0,0,8754,190
2024,4,2,25,3004,616,568,154,442,4011,73,0,16,0,-1968,0,0,1038,88,270,0,12,8514,190
2024,4,2,26,3000,542,556,154,438,3775,83,-2,0,0,-1856,0,0,1168,84,308,0,2,8442,190
2024,4,2,27,2998,586,634,156,444,3639,105,0,0,0,-1792,0,0,1366,88,278,0,20,8712,190
2024,4,2,28,3004,556,624,152,456,3589,101,-724,0,0,-544,0,0,1094,90,318,-24,0,8882,190
2024,4,2,29,3000,672,656,156,508,3427,109,-1348,0,0,-32,0,0,1088,86,288,-30,0,8770,190
2024,4,2,30,3004,948,654,152,512,2923,125,-1112,0,0,-520,0,0,1432,90,302,0,14,8712,188
2024,4,2,31,2994,1012,678,156,528,2397,121,-364,0,0,-792,0,0,1498,92,278,0,18,8806,190
2024,4,2,32,3004,828,684,152,516,1903,131,-236,0,0,-536,0,0,1894,92,318,-6,0,8934,190
2024,4,2,33,3000,832,830,156,536,1431,149,-214,0,0,-488,0,0,2216,98,294,-8,0,9022,190
2024,4,2,34,2998,870,902,152,518,883,141,0,0,0,-504,0,0,2508,98,338,0,14,9110,192
2024,4,2,35,3002,786,1082,154,534,427,143,0,0,0,-168,0,0,2472,100,324,0,4,9052,192
2024,4,2,36,2996,934,1116,152,522,127,145,0,0,0,-404,0,0,2854,102,376,0,6,9122,196
2024,4,2,37,2994,990,1172,154,532,31,145,0,0,0,-580,0,0,3192,106,352,0,0,9282,194
2024,4,2,38,2996,1244,1150,152,532,0,172,0,0,0,-700,0,0,3174,108,388,-4,0,9406,194
2024,4,2,39,2994,1160,1196,154,530,0,204,0,0,0,-708,0,0,3162,106,352,-4,0,9340,194
2024,4,2,40,2992,990,1176,154,526,0,226,0,0,0,-732,0,0,3124,106,372,0,0,9126,192
2024,4,2,41,2996,946,1224,154,530,0,248,0,0,0,-920,0,0,3164,102,328,0,0,8966,194
2024,4,2,42,3002,934,1188,154,532,0,268,0,0,0,-924,0,0,3060,96,356,0,0,8858,192
2024,4,2,43,3000,910,1080,156,540,0,272,0,0,0,-972,0,0,3072,94,330,0,2,8676,192
2024,4,2,44,3002,826,1014,152,522,0,280,0,0,0,-972,0,0,2922,94,378,-2,0,8410,194
2024,4,2,45,3000,824,1034,154,534,0,290,0,0,0,-1000,0,0,2880,88,350,0,2,8348,192
2024,4,2,46,3004,742,950,154,528,0,258,0,0,0,-656,0,0,2498,84,386,0,12,8152,192
2024,4,2,47,3002,850,938,154,534,0,242,0,0,0,-476,0,0,2186,80,344,0,18,8064,192
2024,4,2,48,3006,688,858,154,534,0,244,0,0,0,-228,0,0,1944,76,336,0,0,7804,192
2024,4,3,1,2998,668,904,156,534,0,228,0,0,0,-168,0,0,1686,76,298,-14,0,7558,192
2024,4,3,2,3002,752,886,152,528,0,236,0,0,0,-400,0,0,1634,72,342,-8,0,7386,190
2024,4,3,3,3004,618,920,156,534,0,240,0,0,0,-416,0,0,1706,70,312,-36,0,7298,190
2024,4,3,4,3000,628,902,152,522,0,240,0,0,0,-288,0,0,1658,72,350,-20,0,7408,192
2024,4,3,5,3002,668,934,154,530,0,232,0,0,0,-424,0,0,1938,70,316,-14,0,7596,190
