YYYY,MM,DD,h,1_Record_Chugoku_to_Kyushu,2_Record_Chugoku_to_Shikoku,3_Record_Kansai_to_Chugoku,4_Record_Kansai_to_Shikoku,5_Record_Hokuriku_to_Kansai,6_Record_Chubu_to_Hokuriku,7_Record_Chubu_to_Kansai,8_Record_Tokyo_to_Chubu,9_Record_Tohoku_to_Tokyo,10_Record_Hokkaido_to_Tohoku,1_Plan_Chugoku_to_Kyushu,2_Plan_Chugoku_to_Shikoku,3_Plan_Kansai_to_Chugoku,4_Plan_Kansai_to_Shikoku,5_Plan_Hokuriku_to_Kansai,6_Plan_Chubu_to_Hokuriku,7_Plan_Chubu_to_Kansai,8_Plan_Tokyo_to_Chubu,9_Plan_Tohoku_to_Tokyo,10_Plan_Hokkaido_to_Tohoku
2024,4,1,1,-50,-362,292,-695,-258.66667,-297.5,-1983.3333,-590.66667,1801.6667,-138.6667,-77.2,-347.7,278.931,-700,-273.5,-300,-2000,-612.6,1857.1,-144.3
2024,4,1,2,170.66667,-390,516,-693.1667,-255.33333,-297.66667,-1980.6667,-289.33333,1720,-115.8333,178.7,-379,550.109,-700,-266.8,-300,-2000,-307,1734.8,-110.4
2024,4,1,3,144.66667,-462.5,453.33333,-693,-274.66667,-295.83333,-1954,-175.33333,1335,-159.8333,155.7,-472.5,447.912,-700,-265.5,-300,-2000,-187.2,1333,-130.8
2024,4,1,4,142,-434,393.33333,-692.6667,-270.66667,-295.16667,-1975.3333,-119.5,1213.3333,-152.3333,141,-451.6,413.021,-700,-264.3,-300,-2000,-122.7,1188.1,-155.6
2024,4,1,5,165.33333,-397,694.66667,-692.6667,-283.33333,-295.16667,-1946,-21,1160,-42.66667,133.3,-408.3,649.212,-700,-266.1,-300,-2000,-31.6,1125.9,-83.4
2024,4,1,6,-112,-339,621.33333,-694.5,-314.66667,-297.83333,-1964.6667,-96.166667,1086.6667,88.83333,-114.3,-344.6,656.626,-700,-264.1,-300,-2000,-103.6,990.7,-115.1
2024,4,1,7,-199.33333,-387,588,-692.8333,-374.66667,-297.16667,-1948.6667,-116.33333,1223.3333,42.66667,-194.6,-418.9,558.129,-700,-339.7,-300,-2000,-123.7,926.5,-166.6
2024,4,1,8,-231.33333,-460,384,-692.6667,-408.66667,-295.66667,-1970,-386.16667,971.66667,63.5,-260.3,-473.8,390.004,-700,-417.7,-300,-2000,-408.8,602.4,-164.2
2024,4,1,9,-300.66667,-506,320,-693,-436.66667,-297,-1900.6667,-411.33333,811.66667,3.833333,-291.4,-529,328.707,-700,-424.3,-300,-1949.9,-426.8,696.3,-218.4
2024,4,1,10,-288,-492,384,-692.8333,-442.66667,-297.66667,-1836.6667,-382.66667,690,-82.33333,-314.5,-490.9,385.738,-700,-427,-300,-1870.7,-400.2,739.8,-216.8
