YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,878,154,478,0,174,0,16,0,14,0,-1074,0,0,1238,0,100,0,0,1978,0
2024,4,1,2,880,154,468,0,180,0,4,0,12,0,-1070,0,0,1230,0,100,0,0,1958,0
2024,4,1,3,878,154,490,0,174,0,8,0,12,0,-1158,0,0,1318,0,98,0,0,1974,0
2024,4,1,4,880,152,502,0,176,0,20,0,12,0,-1144,0,0,1330,0,98,0,0,2026,0
2024,4,1,5,878,154,516,0,174,0,18,0,12,0,-1096,0,0,1374,0,96,0,0,2126,0
2024,4,1,6,880,152,500,0,178,0,22,0,12,0,-1058,0,0,1446,0,98,0,0,2230,0
2024,4,1,7,878,154,520,0,174,0,16,0,28,0,-1076,0,0,1558,0,92,0,0,2344,0
2024,4,1,8,880,154,522,0,176,0,24,0,48,0,-1150,0,0,1678,0,98,0,0,2430,0
2024,4,1,9,878,154,548,0,174,0,26,0,54,0,-1200,0,0,1744,0,94,0,0,2472,0
2024,4,1,10,880,152,544,0,180,0,34,0,58,0,-1184,0,0,1758,0,88,0,0,2510,0
2024,4,1,11,878,168,542,0,174,0,28,0,358,0,-1498,0,0,1764,0,90,0,0,2504,0
2024,4,1,12,880,171,538,0,178,0,44,0,372,0,-1546,0,0,1741,0,92,0,0,2470,0
2024,4,1,13,878,158,542,0,174,50,36,0,370,0,-1546,0,0,1662,0,96,0,0,2420,0
2024,4,1,14,880,189,538,0,178,232,40,0,256,0,-1450,0,0,1445,0,96,0,0,2404,0
2024,4,1,15,878,182,514,0,174,488,52,0,30,0,-1408,0,0,1362,0,152,0,0,2424,0
2024,4,1,16,880,164,508,0,170,756,74,0,26,0,-1574,0,0,1312,0,152,0,0,2468,0
