YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,0,2288,1905,144,481,0,211,0,0,0,-1962,0,0,3722,24,307,-1,0,7124,5
2024,4,1,2,0,2114,1902,142,481,0,205,0,0,0,-1874,0,0,3715,23,305,-1,0,7016,4
2024,4,1,3,0,1988,1908,143,483,0,213,0,0,0,-1500,0,0,3665,23,301,-1,0,7227,4
2024,4,1,4,0,1964,1901,143,482,0,211,0,0,0,-1380,0,0,3638,24,302,-1,0,7289,5
2024,4,1,5,0,2018,1905,146,481,0,179,0,0,0,-1208,0,0,3683,24,300,-1,0,7533,6
2024,4,1,6,0,1956,1912,144,481,0,138,0,0,0,-1006,0,0,3702,25,304,-1,0,7660,5
2024,4,1,7,0,2176,1910,146,482,0,133,0,0,0,-1166,0,0,3820,26,303,-2,0,7833,5
2024,4,1,8,0,1948,1914,144,481,0,111,0,0,0,-940,0,0,3899,26,305,-1,0,7892,5
2024,4,1,9,0,1858,1924,146,484,0,116,0,0,0,-798,0,0,4018,27,306,-1,0,8084,4
2024,4,1,10,0,1922,1922,144,484,0,133,0,0,0,-784,0,0,3978,28,309,-1,0,8140,5
2024,4,1,11,0,2174,1951,145,486,0,132,0,0,0,-846,0,0,4039,29,309,-1,0,8426,8
2024,4,1,12,0,2316,1946,143,479,70,121,0,0,0,-890,0,0,3969,29,318,-1,0,8508,8
2024,4,1,13,0,2728,1943,145,477,319,116,0,0,0,-1400,0,0,3963,29,320,-5,0,8645,10
2024,4,1,14,0,2342,1946,143,475,931,84,0,0,0,-1500,0,0,3779,29,323,-5,0,8564,17
2024,4,1,15,0,2346,2026,147,495,1662,71,0,0,0,-2130,0,0,3463,28,320,0,2,8455,25
2024,4,1,16,0,2244,2043,147,523,2468,64,0,0,0,-2378,0,0,3236,27,349,-8,0,8736,21
2024,4,1,17,0,2350,2027,148,535,3382,71,0,0,0,-2778,0,0,2821,27,364,-25,0,8939,17
2024,4,1,18,0,2296,2044,149,539,4259,110,0,0,0,-2962,0,0,2680,26,325,-33,0,9450,17
2024,4,1,19,0,2138,2031,151,540,5279,182,-52,0,0,-3362,0,0,2244,26,263,-20,0,9437,17
2024,4,1,20,0,1742,2026,148,505,5966,265,-272,0,0,-3404,0,0,2090,25,263,-9,0,9365,20
2024,4,1,21,0,1352,1982,145,420,6481,418,-442,0,0,-3304,0,0,2044,25,264,0,6,9410,19
2024,4,1,22,0,1662,1976,143,399,5372,330,-442,0,0,-2670,1331,105,2109,24,261,0,14,9196,18
2024,4,1,23,0,1530,1957,143,364,5350,360,-442,0,0,-2340,1374,142,2010,25,266,0,1,9239,15
2024,4,1,24,0,1862,1967,140,353,5266,350,-440,0,0,-2476,1352,204,1832,25,266,0,13,9175,17
2024,4,1,25,0,1728,1972,142,347,5045,358,-292,0,0,-2572,1352,379,1784,25,272,-36,0,8786,13
2024,4,1,26,0,1874,2020,143,404,4340,398,-222,0,0,-2522,1715,523,1874,24,277,-12,0,8607,9
2024,4,1,27,0,1938,2067,148,450,4172,408,-222,0,0,-2340,1633,577,1957,24,277,0,0,8896,17
2024,4,1,28,0,2002,2087,148,514,4265,584,0,0,0,-2824,1139,416,1953,24,279,0,4,9046,10
2024,4,1,29,0,2084,2069,148,523,4117,628,0,0,0,-3274,740,363,2317,25,345,-12,0,8985,15
2024,4,1,30,0,1864,2100,149,567,3963,665,0,0,0,-3378,312,358,2488,26,369,0,3,8829,13
2024,4,1,31,0,1830,2107,150,557,3372,681,0,0,0,-3016,267,348,2771,27,361,-20,0,8834,14
2024,4,1,32,0,1966,2100,145,526,2812,1009,0,0,0,-2842,0,0,2734,29,361,0,4,8858,14
2024,4,1,33,0,2246,2149,145,502,1861,1087,0,0,0,-2250,0,0,2955,31,364,0,5,9112,17
2024,4,1,34,0,2622,2138,141,470,996,1063,0,0,0,-2126,0,0,3346,32,364,-7,0,9049,10
2024,4,1,35,0,3114,2136,139,454,394,1071,0,0,0,-2518,0,0,4029,31,367,0,3,9240,20
2024,4,1,36,0,3026,2142,144,465,68,1041,0,138,0,-2634,0,0,4517,32,368,-4,0,9320,17
2024,4,1,37,0,3394,2143,140,469,0,1067,0,278,0,-3152,0,0,4835,33,365,-1,0,9593,22
2024,4,1,38,0,3352,2152,143,467,0,1041,0,286,0,-3176,0,0,4943,33,368,-1,0,9625,17
2024,4,1,39,0,3104,2147,141,470,0,1166,0,282,0,-3130,0,0,4894,33,367,0,35,9526,17
2024,4,1,40,0,2966,2148,143,469,0,1286,0,286,0,-3290,0,0,4856,32,367,0,35,9311,13
2024,4,1,41,0,2436,2131,141,475,0,1341,0,282,0,-2602,0,0,4582,32,367,-1,0,9202,18
2024,4,1,42,0,2552,2120,143,475,0,1337,0,144,0,-2558,0,0,4432,32,366,-1,0,9056,14
2024,4,1,43,0,2760,2120,141,476,0,1355,0,2,0,-2600,0,0,4184,30,370,-1,0,8850,13
2024,4,1,44,0,2422,2125,144,473,0,1384,0,0,0,-2472,0,0,4072,29,365,-1,0,8548,7
2024,4,1,45,0,2710,2108,143,474,0,1412,0,0,0,-2742,0,0,3965,28,325,-1,0,8440,18
2024,4,1,46,0,2350,2104,143,469,0,1408,0,0,0,-2412,0,0,3762,26,306,-1,0,8169,14
2024,4,1,47,0,2630,2100,141,474,0,1440,0,0,0,-2606,0,0,3634,27,307,-1,0,8155,9
2024,4,1,48,0,2268,2090,143,473,0,1477,0,0,0,-2388,0,0,3575,26,302,-1,0,7971,6
2024,4,2,1,0,2402,2087,141,476,0,1434,0,0,0,-2600,0,0,3545,25,305,-1,0,7819,5
2024,4,2,2,0,2424,2095,143,476,0,1433,0,0,0,-2822,0,0,3625,24,305,-1,0,7706,4
2024,4,2,3,0,2614,2083,142,474,0,1433,0,0,0,-2706,0,0,3489,24,307,-1,0,7863,4
2024,4,2,4,0,2626,2083,143,476,0,1420,0,0,0,-2616,0,0,3480,24,301,-1,0,7941,5
2024,4,2,5,0,2530,2086,142,476,0,1481,0,0,0,-2622,0,0,3674,26,306,-1,0,8104,6
2024,4,2,6,0,2578,2088,143,476,0,1470,0,0,0,-2602,0,0,3727,27,307,-1,0,8218,5
2024,4,2,7,0,2784,2076,142,473,0,1439,0,0,0,-2762,0,0,3852,27,307,-1,0,8342,5
2024,4,2,8,0,2804,2072,143,467,0,1443,0,0,0,-2832,0,0,4007,28,307,-1,0,8442,4
2024,4,2,9,0,2946,2073,140,470,0,1409,0,0,0,-2834,0,0,4071,29,313,-1,0,8620,4
2024,4,2,10,0,3000,2069,143,466,0,1391,0,0,0,-2754,0,0,4076,29,309,-1,0,8732,4
2024,4,2,11,0,3174,2080,140,469,1,1383,0,0,0,-2872,0,0,4155,30,315,-1,0,8882,8
2024,4,2,12,0,3342,2084,143,458,162,1258,0,0,0,-2916,0,0,4135,30,314,-1,0,9018,9
2024,4,2,13,0,3188,2094,140,449,597,1240,0,0,0,-3084,0,0,3925,31,318,-8,0,8900,10
2024,4,2,14,0,2460,2101,142,453,1250,1278,0,0,0,-2972,0,0,3797,29,323,0,4,8883,18
2024,4,2,15,0,2168,2109,141,461,2147,1318,0,0,0,-3258,0,0,3227,28,316,-6,0,8675,24
2024,4,2,16,0,1746,2129,146,502,3089,1324,0,0,0,-3216,0,0,2875,28,298,0,2,8943,20
2024,4,2,17,0,1760,2085,145,498,3831,1371,0,0,0,-3104,285,88,2324,29,277,-7,0,9227,18
2024,4,2,18,0,1550,2104,147,520,4603,1384,0,0,0,-3138,287,63,2108,27,279,0,4,9606,18
2024,4,2,19,0,1676,2059,145,502,5184,1363,-216,0,0,-3294,420,34,2004,27,280,0,0,9747,17
2024,4,2,20,0,1742,2035,145,448,5571,1369,-432,0,0,-3414,466,79,1972,26,280,0,1,9763,20
2024,4,2,21,0,1688,2008,141,375,5857,1366,-442,0,0,-3556,490,77,1860,25,280,0,6,9628,20
2024,4,2,22,0,1700,1988,142,350,5985,1343,-440,0,0,-3558,504,79,1761,24,279,0,2,9593,17
2024,4,2,23,0,1560,2008,141,361,5988,1369,-444,0,0,-3400,512,75,1663,25,281,0,0,9565,13
2024,4,2,24,0,1902,2015,144,371,5484,1168,-438,0,0,-3310,901,226,1797,25,282,-2,0,9455,17
2024,4,2,25,0,1430,1979,139,333,5395,1060,-440,0,0,-3138,902,209,1905,25,284,-5,0,8981,14
2024,4,2,26,0,1352,2005,144,370,5182,1040,-440,0,0,-2976,874,229,1962,25,288,-42,0,8919,9
2024,4,2,27,0,1830,2049,140,381,4810,1024,-438,0,0,-2890,833,201,2029,25,288,0,1,9265,16
2024,4,2,28,0,1972,2065,146,406,4530,1031,-438,0,0,-2830,774,188,2061,26,287,0,34,9300,10
2024,4,2,29,0,1894,2114,148,446,4036,1026,-220,0,0,-2636,701,185,2141,26,295,0,1,9285,14
2024,4,2,30,0,1828,2125,149,488,3659,1129,-220,0,0,-2466,348,71,2152,26,297,-5,0,9174,12
2024,4,2,31,0,2054,2139,148,518,2946,1074,-222,0,0,-2186,288,72,2387,24,295,-12,0,9179,14
2024,4,2,32,0,2090,2115,147,504,2243,1001,0,2,0,-2140,221,71,2742,26,345,0,1,9090,14
2024,4,2,33,0,2582,2160,145,492,1708,1022,0,0,0,-2610,0,0,3449,27,360,-2,0,9350,17
2024,4,2,34,0,2656,2135,144,468,1042,1042,0,0,0,-2588,0,0,3920,28,360,-14,0,9201,8
2024,4,2,35,0,2978,2145,141,458,453,969,0,0,0,-2534,0,0,4210,29,361,0,2,9231,19
2024,4,2,36,0,2980,2146,143,464,93,896,0,136,0,-2256,0,0,4321,30,358,-1,0,9327,17
2024,4,2,37,0,3126,2156,141,470,0,802,0,142,0,-2276,0,0,4615,31,359,0,0,9588,22
2024,4,2,38,0,3210,2155,143,470,0,712,0,142,0,-2164,0,0,4619,33,356,-1,0,9693,18
2024,4,2,39,0,3164,2128,141,469,0,689,0,142,0,-2338,0,0,4666,32,360,-1,0,9474,22
2024,4,2,40,0,3276,2112,141,465,0,669,0,142,0,-2402,0,0,4550,31,358,-1,0,9355,14
2024,4,2,41,0,3214,2124,142,466,0,624,0,142,0,-2458,0,0,4540,31,356,-1,0,9198,18
