YYYY,MM,DD,h,1_Nuclear,2_Thermal(LNG),3_Hydro,4_Geothermal,5_Biomass,6_PV,7_Wind,8_Pumped_Hydro_Charge,9_Pumped_Hydro_Generate,10_Import,11_Export,12_Curtailment_PV,13_Curtailment_Wind,14_Thermal(Coal),15_Thermal(Oil),16_Thermal(Others),17_Battery_Charge,18_Battery_Generate,19_Demand,20_Ohters
2024,4,1,1,0,10400,1878,0,491,0,71,0,496,2411,0,0,0,4676,56,955,0,0,21687,254
2024,4,1,2,0,9754,1886,0,492,0,70,0,692,2037,0,0,0,4672,56,965,0,0,20914,290
2024,4,1,3,0,9980,1892,0,491,0,77,0,646,1518,0,0,0,4672,56,972,0,0,20626,322
2024,4,1,4,0,10231,1890,0,492,0,76,0,601,1306,0,0,0,4672,56,940,0,0,20590,326
2024,4,1,5,0,10437,1895,0,492,0,74,0,553,1162,0,0,0,4673,56,948,0,0,20618,327
2024,4,1,6,0,10600,1901,0,490,0,77,0,538,1148,0,0,0,4701,57,964,0,0,20802,326
2024,4,1,7,0,10640,1904,0,490,0,83,0,546,1328,0,0,0,4723,57,963,0,0,21064,330
2024,4,1,8,0,10736,1908,0,491,0,89,0,525,1344,0,0,0,4723,57,964,0,0,21161,323
2024,4,1,9,0,11575,1907,0,491,0,95,0,54,1209,0,0,0,4723,57,967,0,0,21409,331
2024,4,1,10,0,12063,1824,0,492,0,98,-70,0,1058,0,0,0,4722,58,936,0,0,21508,327
2024,4,1,11,0,12626,1817,0,488,0,106,-66,0,1036,0,0,0,4722,58,910,0,0,22033,335
2024,4,1,12,0,12787,1813,0,489,45,110,-42,0,1154,0,0,0,4723,58,875,0,0,22341,331
2024,4,1,13,0,12954,1831,0,482,211,113,0,406,1580,0,0,0,4780,58,846,0,0,23582,321
2024,4,1,14,0,12978,1876,0,470,542,120,0,480,2015,0,0,0,4806,58,785,0,0,24416,287
2024,4,1,15,0,12834,1874,0,470,1262,122,0,492,2552,0,0,0,4805,58,662,0,0,25416,286
